"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"2:35","AN23","WT","male","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,278,737.795848173292
"2:36","AN23","WT","male","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,23,274.0640118205
"2:37","AN23","WT","male","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,55,666.876833911293
"2:38","AN23","WT","male","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,13,160.499771596479
"2:39","AN23","WT","male","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,72,1002.52022445314
"2:40","AN23","WT","male","Primary motor area, Layer 6a","MOp6a","/997/8/567/688/695/315/500/985/844/",985,6,133.794179953172
"2:42","AN23","WT","male","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,4,318.648928542978
"2:43","AN23","WT","male","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,87,1801.54062784726
"2:44","AN23","WT","male","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,9,469.092046283749
"2:45","AN23","WT","male","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,23,661.052510562469
"2:47","AN23","WT","male","Primary motor area, Layer 2/3","MOp2/3","/997/8/567/688/695/315/500/985/943/",985,281,954.182272583729
"2:48","AN23","WT","male","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,8,348.659838744825
"2:50","AN23","WT","male","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,612,1360.6954665718
"2:51","AN23","WT","male","Secondary motor area, layer 2/3","MOs2/3","/997/8/567/688/695/315/500/993/962/",993,95,408.582819737561
"2:52","AN23","WT","male","Agranular insular area, dorsal part, layer 1","AId1","/997/8/567/688/695/315/95/104/996/",104,67,1761.76702603208
"2:53","AN23","WT","male","Anterior cingulate area, dorsal part, layer 5","ACAd5","/997/8/567/688/695/315/9999/31/39/1015/",39,36,533.823660250897
"2:54","AN23","WT","male","Secondary motor area, layer 6a","MOs6a","/997/8/567/688/695/315/500/993/1021/",993,238,1024.77545361384
"2:55","AN23","WT","male","Infralimbic area, layer 6a","ILA6a","/997/8/567/688/695/315/9999/44/1054/",44,54,1337.62695070597
"2:57","AN23","WT","male","Agranular insular area, dorsal part, layer 5","AId5","/997/8/567/688/695/315/95/104/1101/",104,110,737.290123663662
"2:58","AN23","WT","male","Orbital area, ventrolateral part, layer 5","ORBvl5","/997/8/567/688/695/315/714/746/1125/",746,100,1916.8839135102
"3:1","AN24","WT","female","Gustatory areas, layer 1","GU1","/997/8/567/688/695/315/1057/36/",1057,6,2337.35878457343
"3:2","AN24","WT","female","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,160,2412.47248273574
"3:3","AN24","WT","female","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,456,806.527210565506
"3:4","AN24","WT","female","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,43,809.366059328414
"3:6","AN24","WT","female","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,72,2006.96864111498
"3:7","AN24","WT","female","Orbital area, ventrolateral part, layer 2/3","ORBvl2/3","/997/8/567/688/695/315/714/746/288/",746,87,1762.48936428832
"3:8","AN24","WT","female","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,67,1436.47356459843
"3:9","AN24","WT","female","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,54,437.721900685764
"3:10","AN24","WT","female","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,111,1456.6546809795
"3:11","AN24","WT","female","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,123,1085.5271867195
"3:12","AN24","WT","female","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,95,975.189135366517
"3:13","AN24","WT","female","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,54,762.798056277546
"3:15","AN24","WT","female","Orbital area, medial part, layer 1","ORBm1","/997/8/567/688/695/315/714/731/484/",731,41,1319.04899784448
"3:16","AN24","WT","female","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,10,381.941792070888
"3:17","AN24","WT","female","Orbital area, medial part, layer 2/3","ORBm2/3","/997/8/567/688/695/315/714/731/582/",731,57,1698.1469343979
"3:18","AN24","WT","female","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,116,1195.11240238198
"3:19","AN24","WT","female","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,150,978.799209130239
"3:20","AN24","WT","female","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,54,1080.17282765242
"3:21","AN24","WT","female","Orbital area, medial part, layer 5","ORBm5","/997/8/567/688/695/315/714/731/620/",731,125,1772.87361538571
"3:22","AN24","WT","female","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,184,976.790605822521
"3:23","AN24","WT","female","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,251,1375.69675478068
"3:24","AN24","WT","female","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,35,233.107995604249
"3:26","AN24","WT","female","lateral olfactory tract, body","lot","/997/1009/967/840/21/665/",21,49,886.572943241238
"3:28","AN24","WT","female","Agranular insular area, ventral part, layer 2/3","AIv2/3","/997/8/567/688/695/315/95/119/694/",119,55,994.323317785732
"3:29","AN24","WT","female","Olfactory areas","OLF","/997/8/567/688/695/698/",695,154,746.160182179369
"3:30","AN24","WT","female","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,44,1411.43260409315
"3:31","AN24","WT","female","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,10,387.852460923865
"3:32","AN24","WT","female","Olfactory tubercle","OT","/997/8/567/623/477/493/754/",493,8,656.760528692226
"3:33","AN24","WT","female","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,297,687.906055657854
"3:34","AN24","WT","female","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,28,480.992218233041
"3:35","AN24","WT","female","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,25,436.635461785664
"3:36","AN24","WT","female","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,5,144.893937637649
